family	symbol	arguments	kind	raw_value	numeric_value_decimal	source_line
D	RTL8367D_FORCE_PORT0_MASK_MASK		MASK	0xFF	255	3554
D	RTL8367D_REG_FORCE_PORT1_MASK		REGISTER	0x08b6	2230	3556
D	RTL8367D_FORCE_PORT1_MASK_OFFSET		MASK	0	0	3557
D	RTL8367D_FORCE_PORT1_MASK_MASK		MASK	0xFF	255	3558
D	RTL8367D_REG_FORCE_PORT2_MASK		REGISTER	0x08b7	2231	3560
D	RTL8367D_FORCE_PORT2_MASK_OFFSET		MASK	0	0	3561
D	RTL8367D_FORCE_PORT2_MASK_MASK		MASK	0xFF	255	3562
D	RTL8367D_REG_FORCE_PORT3_MASK		REGISTER	0x08b8	2232	3564
D	RTL8367D_FORCE_PORT3_MASK_OFFSET		MASK	0	0	3565
D	RTL8367D_FORCE_PORT3_MASK_MASK		MASK	0xFF	255	3566
D	RTL8367D_REG_FORCE_PORT4_MASK		REGISTER	0x08b9	2233	3568
D	RTL8367D_FORCE_PORT4_MASK_OFFSET		MASK	0	0	3569
D	RTL8367D_FORCE_PORT4_MASK_MASK		MASK	0xFF	255	3570
D	RTL8367D_REG_FORCE_PORT5_MASK		REGISTER	0x08ba	2234	3572
D	RTL8367D_FORCE_PORT5_MASK_OFFSET		MASK	0	0	3573
D	RTL8367D_FORCE_PORT5_MASK_MASK		MASK	0xFF	255	3574
D	RTL8367D_REG_FORCE_PORT6_MASK		REGISTER	0x08bb	2235	3576
D	RTL8367D_FORCE_PORT6_MASK_OFFSET		MASK	0	0	3577
D	RTL8367D_FORCE_PORT6_MASK_MASK		MASK	0xFF	255	3578
D	RTL8367D_REG_FORCE_PORT7_MASK		REGISTER	0x08bc	2236	3580
D	RTL8367D_FORCE_PORT7_MASK_OFFSET		MASK	0	0	3581
D	RTL8367D_FORCE_PORT7_MASK_MASK		MASK	0xFF	255	3582
D	RTL8367D_REG_LUT_UNKN_SA_CTRL		REGISTER	0x08c0	2240	3584
D	RTL8367D_LUT_UNKN_SA_CTRL_PORT7_ACT_OFFSET		OFFSET_SHIFT	14	14	3585
D	RTL8367D_LUT_UNKN_SA_CTRL_PORT7_ACT_MASK		MASK	0xC000	49152	3586
D	RTL8367D_LUT_UNKN_SA_CTRL_PORT6_ACT_OFFSET		OFFSET_SHIFT	12	12	3587
D	RTL8367D_LUT_UNKN_SA_CTRL_PORT6_ACT_MASK		MASK	0x3000	12288	3588
D	RTL8367D_LUT_UNKN_SA_CTRL_PORT5_ACT_OFFSET		OFFSET_SHIFT	10	10	3589
D	RTL8367D_LUT_UNKN_SA_CTRL_PORT5_ACT_MASK		MASK	0xC00	3072	3590
D	RTL8367D_LUT_UNKN_SA_CTRL_PORT4_ACT_OFFSET		OFFSET_SHIFT	8	8	3591
D	RTL8367D_LUT_UNKN_SA_CTRL_PORT4_ACT_MASK		MASK	0x300	768	3592
D	RTL8367D_LUT_UNKN_SA_CTRL_PORT3_ACT_OFFSET		OFFSET_SHIFT	6	6	3593
D	RTL8367D_LUT_UNKN_SA_CTRL_PORT3_ACT_MASK		MASK	0xC0	192	3594
D	RTL8367D_LUT_UNKN_SA_CTRL_PORT2_ACT_OFFSET		OFFSET_SHIFT	4	4	3595
D	RTL8367D_LUT_UNKN_SA_CTRL_PORT2_ACT_MASK		MASK	0x30	48	3596
D	RTL8367D_LUT_UNKN_SA_CTRL_PORT1_ACT_OFFSET		OFFSET_SHIFT	2	2	3597
D	RTL8367D_LUT_UNKN_SA_CTRL_PORT1_ACT_MASK		MASK	0xC	12	3598
D	RTL8367D_LUT_UNKN_SA_CTRL_PORT0_ACT_OFFSET		OFFSET_SHIFT	0	0	3599
D	RTL8367D_LUT_UNKN_SA_CTRL_PORT0_ACT_MASK		MASK	0x3	3	3600
D	RTL8367D_REG_LUT_UNMATCHED_SA_CTRL		REGISTER	0x08c1	2241	3602
D	RTL8367D_LUT_UNMATCHED_SA_CTRL_PORT7_ACT_OFFSET		OFFSET_SHIFT	14	14	3603
D	RTL8367D_LUT_UNMATCHED_SA_CTRL_PORT7_ACT_MASK		MASK	0xC000	49152	3604
D	RTL8367D_LUT_UNMATCHED_SA_CTRL_PORT6_ACT_OFFSET		OFFSET_SHIFT	12	12	3605
D	RTL8367D_LUT_UNMATCHED_SA_CTRL_PORT6_ACT_MASK		MASK	0x3000	12288	3606
D	RTL8367D_LUT_UNMATCHED_SA_CTRL_PORT5_ACT_OFFSET		OFFSET_SHIFT	10	10	3607
D	RTL8367D_LUT_UNMATCHED_SA_CTRL_PORT5_ACT_MASK		MASK	0xC00	3072	3608
D	RTL8367D_LUT_UNMATCHED_SA_CTRL_PORT4_ACT_OFFSET		OFFSET_SHIFT	8	8	3609
D	RTL8367D_LUT_UNMATCHED_SA_CTRL_PORT4_ACT_MASK		MASK	0x300	768	3610
D	RTL8367D_LUT_UNMATCHED_SA_CTRL_PORT3_ACT_OFFSET		OFFSET_SHIFT	6	6	3611
D	RTL8367D_LUT_UNMATCHED_SA_CTRL_PORT3_ACT_MASK		MASK	0xC0	192	3612
D	RTL8367D_LUT_UNMATCHED_SA_CTRL_PORT2_ACT_OFFSET		OFFSET_SHIFT	4	4	3613
D	RTL8367D_LUT_UNMATCHED_SA_CTRL_PORT2_ACT_MASK		MASK	0x30	48	3614
D	RTL8367D_LUT_UNMATCHED_SA_CTRL_PORT1_ACT_OFFSET		OFFSET_SHIFT	2	2	3615
D	RTL8367D_LUT_UNMATCHED_SA_CTRL_PORT1_ACT_MASK		MASK	0xC	12	3616
D	RTL8367D_LUT_UNMATCHED_SA_CTRL_PORT0_ACT_OFFSET		OFFSET_SHIFT	0	0	3617
D	RTL8367D_LUT_UNMATCHED_SA_CTRL_PORT0_ACT_MASK		MASK	0x3	3	3618
D	RTL8367D_REG_SOURCE_PORT_PERMIT		REGISTER	0x08c5	2245	3620
D	RTL8367D_SOURCE_PORT_PERMIT_OFFSET		OFFSET_SHIFT	0	0	3621
D	RTL8367D_SOURCE_PORT_PERMIT_MASK		MASK	0xFF	255	3622
D	RTL8367D_REG_IPMCAST_VLAN_LEAKY		REGISTER	0x08c6	2246	3624
D	RTL8367D_IPMCAST_VLAN_LEAKY_OFFSET		OFFSET_SHIFT	0	0	3625
D	RTL8367D_IPMCAST_VLAN_LEAKY_MASK		MASK	0xFF	255	3626
D	RTL8367D_REG_IPMCAST_PORTISO_LEAKY		REGISTER	0x08c7	2247	3628
D	RTL8367D_IPMCAST_PORTISO_LEAKY_OFFSET		OFFSET_SHIFT	0	0	3629
D	RTL8367D_IPMCAST_PORTISO_LEAKY_MASK		MASK	0xFF	255	3630
D	RTL8367D_REG_PORT_SECURITY_CTRL		REGISTER	0x08c8	2248	3632
D	RTL8367D_PORT_SECURITY_CTRL_OFFSET		OFFSET_SHIFT	4	4	3633
D	RTL8367D_PORT_SECURITY_CTRL_MASK		MASK	0x30	48	3634
D	RTL8367D_REG_UNKNOWN_IPV4_MULTICAST_CTRL0		REGISTER	0x08c9	2249	3636
D	RTL8367D_PORT7_UNKNOWN_IP4_MCAST_OFFSET		OFFSET_SHIFT	14	14	3637
D	RTL8367D_PORT7_UNKNOWN_IP4_MCAST_MASK		MASK	0xC000	49152	3638
D	RTL8367D_PORT6_UNKNOWN_IP4_MCAST_OFFSET		OFFSET_SHIFT	12	12	3639
D	RTL8367D_PORT6_UNKNOWN_IP4_MCAST_MASK		MASK	0x3000	12288	3640
