family	symbol	arguments	kind	raw_value	numeric_value_decimal	source_line
C	RTL8367C_REG_PKTGEN_PORT1_DA1		REGISTER	0x0024	36	176
C	RTL8367C_REG_PKTGEN_PORT1_DA2		REGISTER	0x0025	37	178
C	RTL8367C_REG_PKTGEN_PORT1_SA0		REGISTER	0x0026	38	180
C	RTL8367C_REG_PKTGEN_PORT1_SA1		REGISTER	0x0027	39	182
C	RTL8367C_REG_PKTGEN_PORT1_SA2		REGISTER	0x0028	40	184
C	RTL8367C_REG_PKTGEN_PORT1_COUNTER0		REGISTER	0x0029	41	186
C	RTL8367C_REG_PKTGEN_PORT1_COUNTER1		REGISTER	0x002a	42	188
C	RTL8367C_PKTGEN_PORT1_COUNTER1_OFFSET		OFFSET_SHIFT	0	0	189
C	RTL8367C_PKTGEN_PORT1_COUNTER1_MASK		MASK	0xFF	255	190
C	RTL8367C_REG_PKTGEN_PORT1_TX_LENGTH		REGISTER	0x002b	43	192
C	RTL8367C_PKTGEN_PORT1_TX_LENGTH_OFFSET		OFFSET_SHIFT	0	0	193
C	RTL8367C_PKTGEN_PORT1_TX_LENGTH_MASK		MASK	0x3FFF	16383	194
C	RTL8367C_REG_PKTGEN_PORT1_TIMER		REGISTER	0x002d	45	196
C	RTL8367C_PKTGEN_PORT1_TIMER_TIMER_OFFSET		OFFSET_SHIFT	4	4	197
C	RTL8367C_PKTGEN_PORT1_TIMER_TIMER_MASK		MASK	0xF0	240	198
C	RTL8367C_PKTGEN_PORT1_TIMER_RX_DMA_ERR_FLAG_OFFSET		OFFSET_SHIFT	3	3	199
C	RTL8367C_PKTGEN_PORT1_TIMER_RX_DMA_ERR_FLAG_MASK		MASK	0x8	8	200
C	RTL8367C_REG_PORT1_MISC_CFG		REGISTER	0x002e	46	202
C	RTL8367C_PORT1_MISC_CFG_SMALL_TAG_IPG_OFFSET		OFFSET_SHIFT	15	15	203
C	RTL8367C_PORT1_MISC_CFG_SMALL_TAG_IPG_MASK		MASK	0x8000	32768	204
C	RTL8367C_PORT1_MISC_CFG_TX_ITFSP_MODE_OFFSET		OFFSET_SHIFT	14	14	205
C	RTL8367C_PORT1_MISC_CFG_TX_ITFSP_MODE_MASK		MASK	0x4000	16384	206
C	RTL8367C_PORT1_MISC_CFG_FLOWCTRL_INDEP_OFFSET		OFFSET_SHIFT	13	13	207
C	RTL8367C_PORT1_MISC_CFG_FLOWCTRL_INDEP_MASK		MASK	0x2000	8192	208
C	RTL8367C_PORT1_MISC_CFG_DOT1Q_REMARK_ENABLE_OFFSET		OFFSET_SHIFT	12	12	209
C	RTL8367C_PORT1_MISC_CFG_DOT1Q_REMARK_ENABLE_MASK		MASK	0x1000	4096	210
C	RTL8367C_PORT1_MISC_CFG_INGRESSBW_FLOWCTRL_OFFSET		OFFSET_SHIFT	11	11	211
C	RTL8367C_PORT1_MISC_CFG_INGRESSBW_FLOWCTRL_MASK		MASK	0x800	2048	212
C	RTL8367C_PORT1_MISC_CFG_INGRESSBW_IFG_OFFSET		OFFSET_SHIFT	10	10	213
C	RTL8367C_PORT1_MISC_CFG_INGRESSBW_IFG_MASK		MASK	0x400	1024	214
C	RTL8367C_PORT1_MISC_CFG_RX_SPC_OFFSET		OFFSET_SHIFT	9	9	215
C	RTL8367C_PORT1_MISC_CFG_RX_SPC_MASK		MASK	0x200	512	216
C	RTL8367C_PORT1_MISC_CFG_CRC_SKIP_OFFSET		OFFSET_SHIFT	8	8	217
C	RTL8367C_PORT1_MISC_CFG_CRC_SKIP_MASK		MASK	0x100	256	218
C	RTL8367C_PORT1_MISC_CFG_PKTGEN_TX_FIRST_OFFSET		OFFSET_SHIFT	7	7	219
C	RTL8367C_PORT1_MISC_CFG_PKTGEN_TX_FIRST_MASK		MASK	0x80	128	220
C	RTL8367C_PORT1_MISC_CFG_MAC_LOOPBACK_OFFSET		OFFSET_SHIFT	6	6	221
C	RTL8367C_PORT1_MISC_CFG_MAC_LOOPBACK_MASK		MASK	0x40	64	222
C	RTL8367C_PORT1_MISC_CFG_VLAN_EGRESS_MODE_OFFSET		OFFSET_SHIFT	4	4	223
C	RTL8367C_PORT1_MISC_CFG_VLAN_EGRESS_MODE_MASK		MASK	0x30	48	224
C	RTL8367C_PORT1_MISC_CFG_CONGESTION_SUSTAIN_TIME_OFFSET		OFFSET_SHIFT	0	0	225
C	RTL8367C_PORT1_MISC_CFG_CONGESTION_SUSTAIN_TIME_MASK		MASK	0xF	15	226
C	RTL8367C_REG_INGRESSBW_PORT1_RATE_CTRL0		REGISTER	0x002f	47	228
C	RTL8367C_REG_INGRESSBW_PORT1_RATE_CTRL1		REGISTER	0x0030	48	230
C	RTL8367C_INGRESSBW_PORT1_RATE_CTRL1_DUMMY_OFFSET		OFFSET_SHIFT	3	3	231
C	RTL8367C_INGRESSBW_PORT1_RATE_CTRL1_DUMMY_MASK		MASK	0xFFF8	65528	232
C	RTL8367C_INGRESSBW_PORT1_RATE_CTRL1_INGRESSBW_RATE16_OFFSET		OFFSET_SHIFT	0	0	233
C	RTL8367C_INGRESSBW_PORT1_RATE_CTRL1_INGRESSBW_RATE16_MASK		MASK	0x7	7	234
C	RTL8367C_REG_PORT1_FORCE_RATE0		REGISTER	0x0031	49	236
C	RTL8367C_REG_PORT1_FORCE_RATE1		REGISTER	0x0032	50	238
C	RTL8367C_REG_PORT1_CURENT_RATE0		REGISTER	0x0033	51	240
C	RTL8367C_REG_PORT1_CURENT_RATE1		REGISTER	0x0034	52	242
C	RTL8367C_REG_PORT1_PAGE_COUNTER		REGISTER	0x0035	53	244
C	RTL8367C_PORT1_PAGE_COUNTER_OFFSET		OFFSET_SHIFT	0	0	245
C	RTL8367C_PORT1_PAGE_COUNTER_MASK		MASK	0x7F	127	246
C	RTL8367C_REG_PAGEMETER_PORT1_CTRL0		REGISTER	0x0036	54	248
C	RTL8367C_REG_PAGEMETER_PORT1_CTRL1		REGISTER	0x0037	55	250
C	RTL8367C_REG_PORT1_EEECFG		REGISTER	0x0038	56	252
C	RTL8367C_PORT1_EEECFG_EEEP_ENABLE_TX_OFFSET		OFFSET_SHIFT	14	14	253
C	RTL8367C_PORT1_EEECFG_EEEP_ENABLE_TX_MASK		MASK	0x4000	16384	254
C	RTL8367C_PORT1_EEECFG_EEEP_ENABLE_RX_OFFSET		OFFSET_SHIFT	13	13	255
C	RTL8367C_PORT1_EEECFG_EEEP_ENABLE_RX_MASK		MASK	0x2000	8192	256
C	RTL8367C_PORT1_EEECFG_EEE_FORCE_OFFSET		OFFSET_SHIFT	12	12	257
C	RTL8367C_PORT1_EEECFG_EEE_FORCE_MASK		MASK	0x1000	4096	258
