symbol	arguments	value_or_expression	source_line
RTL_RTK_DESC_OWN		BIT(0)	364
RTL_RTK_DESC_WRAP		BIT(1)	365
RTL_RTK_DESC_LAST		BIT(2)	366
RTL_RTK_DESC_FIRST		BIT(3)	367
RTL_RTK_TX_HWLKUP		BIT(4)	368
RTL_RTK_TX_BRIDGE		BIT(5)	369
RTL_RTK_RX_EXTSIZE_SHIFT		16	370
RTL_RTK_RX_LEN_MASK		0x3fff	371
RTL_RTK_TX_PH_LEN_SHIFT		6	372
RTL_RTK_TX_M_LEN_SHIFT		15	373
RTL_RTK_TX_DP_EXT_SHIFT		12	374
RTL_RTK_TX_DP_EXT_MASK		0x7	375
RTL_RTK_TX_DP_SHIFT		24	376
RTL_RTK_TX_DP_MASK		0x7f	377
RTL_RTK_TX_EXTSPA_SHIFT		30	378
RTL_RTK_TX_EXTSPA_MASK		0x3	379
RTL_RTK_DEFAULT_RX_RING		64	381
RTL_RTK_DEFAULT_TX_RING		64	382
RTL_RTK_MIN_RING		16	383
RTL_RTK_MAX_RING		512	384
RTL_RTK_DEFAULT_RX_BUFSZ		2048	385
RTL_RTK_DEFAULT_TX_PORT_MASK		0x7f	386
RTL_RTK_DEFAULT_TX_DP_EXT		0	387
RTL_RTK_DEFAULT_TX_EXTSPA		0	388
RTL_RTK_DEFAULT_RX_POLL_MS		100	389
RTL_RTK_REG_DUMP_LEN		(RTL_RTK_CPUICR1 + sizeof(u32))	390
RTL_RTK_RD05_PKTHDR_USED_INCOMING		0x9000	470
RTL_RTK_RD05_MBUF_FLAGS_RX		0x9c	471
RTL_RTK_NUM_STATS		ARRAY_SIZE(rtl8197f_rtk_gstrings_stats)	1015
RTL_RTK_RD05_RXTRACE_MAX_LOGS		96	2649
