quelle,pfad,groesse_bytes,sha256
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/RTL88XX/RTL8197F/Hal8197FVerify.h,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/RTL88XX/RTL8197F/RTL8197FE/Hal8197FEDef.h,586,0dad949d7fcf46a54a1e2af2285422157f901a09e49e9277464734766778a558
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/RTL88XX/RTL8197F/RTL8197FE/Hal8197FEGen.c,8616,d6991924ee2c81c4428f16ee237d7997c622aa3ab4e3be8cf56b412e80406333
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/phydm/halrf/rtl8197f/halhwimg8197f_rf.c,78128,da4341080fde556692267a67110b7895a5cbcd65c3c5ac8c8aa4c23d5f74e3c2
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/phydm/halrf/rtl8197f/halhwimg8197f_rf.h,6563,9f3bb3ee4a4ab6257fc9961ed17ada196440b310b145c2c4ff5cc343d171e374
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/phydm/halrf/rtl8197f/halrf_8197f.c,11628,3906e4bf15fad110eba0294b784c3abdb348d0b422931375eff6a9d5f6af5fe3
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/phydm/halrf/rtl8197f/halrf_8197f.h,1608,b95c2ad575b599299f27635b215b9ab9198d4fecbd5440799517588f4b8997ea
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/phydm/halrf/rtl8197f/halrf_dpk_8197f.c,64684,e358b238e54a456089939114caacb21da6a52fdfdd28b9927b21e425f5a622a9
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/phydm/halrf/rtl8197f/halrf_dpk_8197f.h,1977,2a917381e6477d4835ede1616918259db5cd0235bd7fb31de49f6612750fd384
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/phydm/halrf/rtl8197f/halrf_iqk_8197f.c,53765,ef3b9ceec50ec853e60d19de0eca1da4498be1775bad880eb262596f34d096b5
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/phydm/halrf/rtl8197f/halrf_iqk_8197f.h,1450,c43d59034840a9a4dcfbf430d045d04d83d3cdcd356420ca0930ebd6e90eefed
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/phydm/halrf/rtl8197f/version_rtl8197f_rf.h,1030,3511e7a3967deeda9bee9085d6154e8368c29b134a7db8e9f2ac5b1cb0ad8266
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/phydm/rtl8197f/Hal8197FPhyReg.h,1049,7e7b9b65b87ac55657aeb3bd7c237ee01d8ceae05f787e99791505dce916610e
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/phydm/rtl8197f/halhwimg8197f_bb.c,146963,6f84bab08ef255b4dec010413d2f1a7b88c0b8b7ece2cc41957478334861429f
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/phydm/rtl8197f/halhwimg8197f_bb.h,1831,94becf6eb9f9ad525b786fdb35471e7dd0f006409d663836fd2c3af0d476a7e7
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/phydm/rtl8197f/halhwimg8197f_mac.c,8327,fdd21c847c55a0a8087a95b592120fd908d5c15d188b918da2c9284a0d228ea5
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/phydm/rtl8197f/halhwimg8197f_mac.h,1488,15f8ab83259d426360aac78b9ad907dc09174e3b8f43460760a0ba5660dfdd79
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/phydm/rtl8197f/phydm_hal_api8197f.c,37921,0094242ec4b69006d515112acfaaa915a4cb9284d7ec3f7f31fed060db2bd74a
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/phydm/rtl8197f/phydm_hal_api8197f.h,2355,943f25604b2ce94a2c19cbe8236306c17ab05fe8f98ad084429f74e08934544c
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/phydm/rtl8197f/phydm_regconfig8197f.c,4761,991265acf8308fff175cc5189b716aa97f9d5be12259854a72851c5c697409a9
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/phydm/rtl8197f/phydm_regconfig8197f.h,1724,10f747a641eb1feaf8bf93675f5eb2e73c5a9e10f5ede194ec6834a9c9afb62e
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/phydm/rtl8197f/phydm_rtl8197f.c,4532,102c0db8a0ae013e88975117a70996536711a3fd164525cbaacbc30a29ec6dd8
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/phydm/rtl8197f/phydm_rtl8197f.h,1061,6d39fae385fc7b787011ca6c9d06125f4b801be8684340202fe2a6c6b80884d8
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/phydm/rtl8197f/version_rtl8197f.h,1296,3d5dba41de7eec945b810fd42a84be485418474e3622525063f97663d881f21e
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/boards/rtl8197F/Makefile,10120,1091aa52a6d392ec576015f544203e286a0053af7106182a50ab039255846fd1
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/boards/rtl8197F/board-configuration.in,531,c6e09a69d360e2010b289d263cdcb357371ec5608b7fbc38c5a690a66c5f11f6
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/boards/rtl8197F/bsp/Kconfig,285,ea98e2ad79a47cb9ada24c62785ceb8a6a625fc06085816f1658c597740ad190
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/boards/rtl8197F/bsp/Makefile,706,c6325dd7632b8c8e5485c403cc71cb8361e5a531ce13a5b1dd90fc89aed4d830
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/boards/rtl8197F/bsp/Platform,108,8ac0133cff0c342c60c89f6f5729d3293c1c3972961112c3ddd3e1cf744841ed
