Archive,Area,Scope,Class,FileKind,Chips/Keywords,SizeBytes,SizeKiB,Extension,Path
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,"RTL8367B, RTL8367R",1262,1.23,.h,GPL_AX12v1/rtl8197/bootcode/boot/rtl8367r/rtl8367b_asicdrv_trunking.h
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,"RTL8367B, RTL8367R",1424,1.39,.h,GPL_AX12v1/rtl8197/bootcode/boot/rtl8367r/rtl8367b_asicdrv_unknownMulticast.h
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,"RTL8367B, RTL8367R",6431,6.28,.h,GPL_AX12v1/rtl8197/bootcode/boot/rtl8367r/rtl8367b_asicdrv_vlan.h
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,"RTL8367B, RTL8367R",31358,30.62,.h,GPL_AX12v1/rtl8197/bootcode/boot/rtl8367r/rtl8367b_base.h
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,"RTL8367B, RTL8367R",794839,776.21,.h,GPL_AX12v1/rtl8197/bootcode/boot/rtl8367r/rtl8367b_reg.h
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,RTL8367R,12899,12.6,.c,GPL_AX12v1/rtl8197/bootcode/boot/rtl8367r/smi.c
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,RTL8367R,359,0.35,.h,GPL_AX12v1/rtl8197/bootcode/boot/rtl8367r/smi.h
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,RTL83XX,14409,14.07,.c,GPL_AX12v1/rtl8197/bootcode/boot/rtl83xx/cpu.c
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,RTL83XX,9560,9.34,.h,GPL_AX12v1/rtl8197/bootcode/boot/rtl83xx/cpu.h
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,RTL83XX,12163,11.88,.c,GPL_AX12v1/rtl8197/bootcode/boot/rtl83xx/gpio.c
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,RTL83XX,2260,2.21,.h,GPL_AX12v1/rtl8197/bootcode/boot/rtl83xx/gpio.h
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,RTL83XX,2024,1.98,.h,GPL_AX12v1/rtl8197/bootcode/boot/rtl83xx/gpio_8198.h
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,RTL83XX,21826,21.31,.c,GPL_AX12v1/rtl8197/bootcode/boot/rtl83xx/led.c
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,RTL83XX,14225,13.89,.h,GPL_AX12v1/rtl8197/bootcode/boot/rtl83xx/led.h
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,RTL83XX,90697,88.57,.c,GPL_AX12v1/rtl8197/bootcode/boot/rtl83xx/port.c
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,RTL83XX,31480,30.74,.h,GPL_AX12v1/rtl8197/bootcode/boot/rtl83xx/port.h
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,RTL83XX,26700,26.07,.h,GPL_AX12v1/rtl8197/bootcode/boot/rtl83xx/qos.h
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,RTL83XX,18672,18.23,.c,GPL_AX12v1/rtl8197/bootcode/boot/rtl83xx/rate.c
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,RTL83XX,10896,10.64,.h,GPL_AX12v1/rtl8197/bootcode/boot/rtl83xx/rate.h
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,RTL83XX,12297,12.01,.c,GPL_AX12v1/rtl8197/bootcode/boot/rtl83xx/rtk_api.c
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,RTL83XX,679,0.66,.h,GPL_AX12v1/rtl8197/bootcode/boot/rtl83xx/rtk_api.h
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,RTL83XX,23028,22.49,.h,GPL_AX12v1/rtl8197/bootcode/boot/rtl83xx/rtk_error.h
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,RTL83XX,51081,49.88,.c,GPL_AX12v1/rtl8197/bootcode/boot/rtl83xx/rtk_switch.c
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,RTL83XX,22435,21.91,.h,GPL_AX12v1/rtl8197/bootcode/boot/rtl83xx/rtk_switch.h
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,RTL83XX,3000,2.93,.h,GPL_AX12v1/rtl8197/bootcode/boot/rtl83xx/rtk_types.h
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,"RTL8367C, RTL83XX",14203,13.87,.c,GPL_AX12v1/rtl8197/bootcode/boot/rtl83xx/rtl8367c_asicdrv.c
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,"RTL8367C, RTL83XX",3537,3.45,.h,GPL_AX12v1/rtl8197/bootcode/boot/rtl83xx/rtl8367c_asicdrv.h
